,username,rating,review_year,review_month,platform,headline,post_text,visit_year,visit_month
154,BuzzardFlight,5,2016,2,non-mobile,Wow – this place is terrific!,"We were staying in Audlem for a few days and the Bhurtpore was highly recommended by a local taxi driver. Three of us spent the morning at a local clay pigeon shooting ground and the owner recommended it too. It would have been rude not to try it after two good recommendations so we called in for a pint. It’s one of those places where you feel comfortable as soon as you walk up to the bar. Great atmosphere and the landlord/barman was extremely welcoming and friendly. With 11 cask ales on the board there was no doubt we’d have to make another visit, although we could have happily stayed all afternoon!The Bhurtpore doesn’t appear very big from outside but it’s deceptively spacious. There are a number of rooms running around a central bar area – one has a pool table and TV showing sports (not too obtrusive), one is more of a general bar area and then there are areas for dining. Somehow it’s all quite relaxing and cosy.Long story short, we booked for nine of us to go for a meal the next evening. The welcome was just as warm and the landlord/barman couldn’t have been more helpful.We got to sample more great beers and there was also a small range of craft lagers on draught – not to mention the extensive range of gins and the list of ciders!The choice of food was just as good and it was very difficult to make a choice from the main menu and the specials boards. I opted for the Bangladeshi Venison curry and didn’t regret it! Everyone thoroughly enjoyed their meals and had a fantastic evening.The Bhurtpore really is everything a great pub should be.There’s a very interesting story to the name of the pub too but you’ll just have to go along and find out for yourself!",2016.0,2.0
155,John F,4,2016,2,non-mobile,good for an Indian Curry,This is more different to any pub you have been to. It actually serves real Indian curries that are to die for. They also have multiple selections of real ales that are also very good. ,2015.0,9.0
156,angela s,4,2016,1,non-mobile,Belting curry,"This is a very cosy, traditional country pub. There is an excellent and extensive range of real ale ( camera pub). The best food on the menu is a range of curries. The pub is famous for their delicious and authentic curries.",2015.0,12.0
157,Missmelbay,1,2016,1,mobile,Disappointing ,"Not great, not the cleanest, meat not fresh, tasteless, staff were not very helpful, or friendly, placemats chipped and old, chair was wonky, would not go back, very disappointed ",2015.0,12.0
158,eamonn f,5,2016,1,non-mobile,"Fantastic Food, Service and Ambiance","Wow, we were recommended to the Bhurtpour by relatives of the owner of the B&B we stayed at having visited the area many times over the past several years to visit family I was surprised that I had not even heard of this location.Our loss but not any more we were greeted very graciously and sat at a table of our choice, the menu is outstanding and for a pub very exciting with many dishes not normally found. We had a delicious caramelized root vegetable soup, followed by Black Pudding in a wonderful light stone ground mustard sauce, my wife who has never been willing to try this delicacy was very happy she did. We did a traditional steak and kidney pie which was wonderful followed by a home made bread pudding that was probably the best I have ever had. All served with a smile and impeccable timing. We will never miss a chance to go back every time we visit a must try and congratulations to the ownership and staff on a fantastic meal. Thank you",2015.0,12.0
159,evoevomo,5,2015,12,mobile,A proper boozer that does a mean madras ...,"...what else do you need...Seriously, great curries (and a decent looking normal menu), massive selection of quality beers on tap / bottle and great service from the staff.This is my new favourite pub / restaurant / curry house and will be bringing family members and friends when they visit.",2015.0,12.0
160,cromwellhoward,5,2015,12,non-mobile,Wonderful Curry in a friendy Pub,"This pub is amazing, it serves really good food including some brilliant curry's and its always busy. They have a wonderful selection of real ales as well.",2015.0,12.0
161,eating182,5,2015,11,mobile,Favourite place to visit!,"This pub never fails to provide a great place to eat, drink and catch up with family! Staff are friendly always and food never disappoints! ",2015.0,11.0
162,vipjin81,4,2015,11,non-mobile,Nice collection of drinks and good food,Its local to me and have been a few times just for some drinks but went for food last week and wasn't disappointed. Would recommend the place,2015.0,11.0
163,Pikemere,4,2015,11,non-mobile,"Excellent beer, decent food",Had a pleasant lunch with reasonable food. The highlight was the pints of dark beer and the venison steak.,2015.0,11.0
164,djne11026,4,2015,10,mobile,Very good food. ,"We visited for a late lunch and enjoyed a range of main meals, steak, pie, fish and chips and two curries. All of these were very good as were the vegetables and chips. The range of beer was interesting. The service was pleasant and helpful but a little slow. We just wish it was dog friendly!!",2015.0,10.0
165,NantwichFlatley,5,2015,10,non-mobile,Craft on draught....,"Whilst the Bhurty still caters well for the staple Cask Ales there is now an abundance of top of the range craft beers available, many on keg, and many more available by bottles or cans from the well stocked fridges. For a local pub to embrace the 'craft beer revolution' as some may call it and offer the variety that the Bhurty does is fantastic. The prices aren't bad either - but I didn't say that - did I?",2015.0,10.0
166,Tyke23,5,2015,10,non-mobile,Wonderful beers and Steak pies,Have been visiting the Bhurtpore Inn for a number of years and we are continually impressed by the range and quality of the real ales plus the food always has been of consistently high quality. We usually have a steak pie with the optional topping of puff pastry or plain pastry freshly cooked along with chips or potatoes. The accompanying vegetables are always freshly tasting and have a lovely texture. Well Done and thank you,2015.0,10.0
167,rockyWirral,5,2015,10,non-mobile,top notch pub,"we go fairly regular and the food is always top notch I had minted lamb curry as been off me grub a bit and wanted to zap my tastebuds and wasn't dissapoited it was outstanding wife had the steak n kidney which is always delicious, fatherlaw had a delicious mango chicken curry and hes a fussy bugger. There is a lot of choices for meals and drinks and a specials menu. All the staff are really nice and helpful even the barstaff. Joking apart the staff including chefs ar a credit to the place. This is how all traditional pubs should be",2015.0,10.0
168,Dave M,5,2015,9,non-mobile,What a pub,"The Bhurtpore is a great pub to go for a drink and or a meal. There are 9 cask beers on every day most of them changing regularly. There is also a very elective range of lagers which has some thing to suit everybody.The food which is served all over the pub is also very good, sunday roast are excellent and the curries pack a punch if you want them too. A great place to spend an evening or a long lunchtime.",2015.0,8.0
169,Gary W,4,2015,9,non-mobile,A Tardis Like Pub (Bigger on the Inside Than Might think) Serving Good Food,"We visited the Bhurtpore Inn for dinner this evening and really enjoyed ourselves. We were a party of 7 and we had a variety of meals ranging from lamb dopiaza to lasagne; all our meals were very good. The staff were friendly and efficient, and the atmosphere warm and cordial. The bar sells an excellent range of draught beers as you would expect from a CAMRA free house. The Inn is a lot larger on the inside that you would expect and there are plenty of places to sit and eat. All in all, a really enjoyable evening in an Inn that is well worth a visit.",2015.0,9.0
170,NessieNoo,5,2015,9,non-mobile,Fantastic selection of ales!,Came across this place as we were staying at a campsite nearby. Friendly knowledgeable staff and an owner who certainly knows his beer! It is probably the best pub I have ever been to for it's selection of craft beers which was just amazing and all perfectly looked after. We spent the whole bank holiday weekend here and will certainly be returning on a regular basis.,2015.0,9.0
171,Steve B,5,2015,8,non-mobile,Very nice meal,Had lunch at this place today................birthday treat from the woman !! Had beef and stilton with red wine pie................wow nice and tasty plenty of beef and piping hot. Wife had gammon which she said was very nice too...................lemon merinque pie andvanilla ice cream for sweet....wife had bread and butter pud !!! all excellent would recommend it to anyone........................,2015.0,8.0
172,niceone,5,2015,8,non-mobile,"Real Ales is what you want, what a place.","Lovely pub, great food and if you like real ales, this is the place for you.You can relax in the bar area or in the restaurant in lovely old d worldy atmosphere.",2015.0,7.0
173,NannyGrottBaggs,5,2015,8,non-mobile,First visit to Bhurtpore,We went mid week (Wednesday) 7pm. In fairness it was a very wet night & there were only a couple of tables eating - if we hadn't planned to meet doubt we'd of ventured out!We ate from the Specials Board - I had steak pie with stilton & my friend tucked in to bangers on sweet potato mash with onion gravy it was very nice - simple & wholesome but tasty too! Our shared ginger & black pepper pudding with toffee sauce was heavenly!They have the most amazin selection of beers on offer so next time I won't be driving!The staff & setting were great - well done,2015.0,8.0
174,Coastliners_HK,3,2015,8,mobile,Great grub and ales,A very good real-ale pub that happens to serve pretty good food too. Sadly when we visited the coffee machine was on the blink and the cheese platter was a bit stale. That aside the mains and beer were grand. ,2015.0,8.0
175,MrF96,4,2015,7,non-mobile,As good as we remembered!,"Popped into the Bhurtpore for a bite to eat after a good walk up Bickerton Hill ( also highly recommended). We hadn't been here for a while but we're delighted to find that nothing had changed since our last visit. Very family friendly, great staff, superb local & guest beers and brilliant food, fairly priced. The Steak&Kidney pie is the best I've had anywhere!",2015.0,7.0
176,Will1957,4,2015,7,non-mobile,"Good food,pleasnt staff","We have eaten at the Bhurtpore Inn twice in the last week, and can highly recommend it. There is a wide selection available on the menu from traditional pub food to curries. The staff are pleasant and friendly. In addition, the service is not too hurried or obtrusive, which suited us. However, people dashing in for a quick meal might find it a bit slow if they are in a hurry. There is a good selection of beer, at the bar too. The décor is a bit old-fashioned, but it didn't bother us as were more interested in the quality of the food served. I'd recommend this pub, with the caveat if you are looking for a quick meal, it might be better going elsewhere.",2015.0,7.0
177,PhilatStoke,4,2015,7,non-mobile,Good selection,"This was our first visit to this restaurant, a favourite of our friends. If you want a quick meal this is probably not the right place, but if you want an hour or two to dine and chat with friends, it is great. Service is not the fastest in the world but staff are friendly and helpful. Food is not cheap but the quality and quantity are good. The braised shoulder of lamb was delicious and was a generous portion. All six of us were pleased with our meals.",2015.0,7.0
178,Ssh-beech,5,2015,6,mobile,"Lunchtime treat for Grandparents, parents and children.","The eldest person in our little party is 75yrs, and the youngest is 8yrs. We sat in the garden room on a table that was very comfortable for 8 persons. The very varied menu had all of us spoiled for choice. We chose homemade 3 different home made curries, 2 steak & kidney puddings, salad, and fish & chips, and steak. All the meals are home made and well presented. The service is prompt and cheerful. We had baked cheesecake, & brownies which were memorable. I don't drink, so I had green tea, the men had different small brewery special ales. We had been before and will go again. To cap, we give The Bhurtpore 9 out of 10 for home made food, a wide selection of real ales, & lovely puds.",2015.0,6.0
179,ken b,5,2015,5,non-mobile,The best pub in the country,"Lovely food, lovely staff (Simon & Nicky, Aussie Bill) - great choice of beer, - milds, bitters, lagers, draft and bottled begian fruit beers whiskys & wine - fantastic choice of soft drinks, Loozas, Currys are innovative tasty and sometimes unique. Mutton Rezala is my favourite, prefaced by a 3 pappadum starter though they do a mean Sag Balti. The various menu is varied but vegetable portions could be bigger. Atmosphere friendly and open - kids welcome - a proper pub.",2015.0,5.0
180,Julie C,4,2015,4,non-mobile,"Smoked haddock in cheese & leek sauce, in pancake, fabulous.😀😀😀","Went for meal to celebrate friends birthday, we had the best night food wise we've had for a long time, great menu to choose from, meals pipping hot, veg cooked to perfection, very good night enjoyed by everyone, would recommend to anyone to try, we will certainly be going back. ",2015.0,4.0
181,NigelJ380,5,2015,4,non-mobile,My mum's 94th birthday treat. Good choice,"My wife and I plus various family members have eaten here many times over the years, and have never been disappointed. This time, we had a group of five to celebrate my mum's 94th birthday, and we had a great time. The meals were all excellent, the beer was excellent, and the service was excellent as well. Every time I go, I promise myself that I will have a different starter, but I always have the smoked haddock pancake, which is wonderful. Another 'plus' is the fact that there is a good amount of time between courses, which we all like, but which may be a bit offputting if you're a fast food buff. One slight gripe - my niece's dessert got forgotten somehow, and arrived as the rest of us were finishing ours, but I'm certainly not going to dock any stars for that, as the standard is always so high, and everyone makes mistakes. Still the pub for others to aspire to",2015.0,4.0
182,maureent345,5,2015,4,non-mobile,"Lovely food, Lovely ale, Lovely staff",A wide choice of food available to serve every taste. Our meals arrived in good time and all were delicious. No-one was disappointed and the waitress was very efficient and friendly. The bar staff showed excellent knowledge of the real ales they served and even gave an excellent whisky suggestion. An inn we will definitely visit again,2015.0,4.0
183,Mike S,5,2015,3,non-mobile,"Excellent, as always","It's always difficult to decide what to have as there's always a good choice, whether that's food or drink.The standard menu is varied, and the specials just make it better (but harder to choose). As the evening goes on, the specials do get limited, so that proves they are genuinely 'specials'.Whether you want standard English fare, or the home made curries, they're always good. Portion sizes are generous, so if you like puddings, think carefully about whether to order a starter.Often, a pub specialises in food or beer, but the Bhurtie is great for both, always having guest ales. ciders and wines as well as their standard offering. We come here for family meals, boys night out, as a couple and for work parties. It consistently satisfies.",2015.0,2.0
184,Jackie L,1,2015,3,non-mobile,Very disappointing,We had heard great things about this place. We went relatively early in the evening for my husbands birthday with two teenagers. Service was very slow - probably waited 10-15 minutes after our food order had been taken for anyone to ask if we wanted drinks. One daughter started fiddling with the salt mill on the table when the base fell off - it had been held on with blu-tack which in the warmth of the summer had given way. Starters were disappointing and as for hubby's curry - well we have had better out of a ready meal aisle in a supermarket. Maybe everyone was just having an off day - I wouldn't personally risk a return visit in case it hasn't improved.,2014.0,7.0
185,684lesleyc,4,2015,3,non-mobile,They managed to fit us in.,"We had a late lunch here today, we had been to a garden centre and decided to have a meal in a pub on the way home, well, it was Mothering Sunday so easier said than done. We called in at 4 pubs who were unable to fit us in, we finally called in at the Bhurtpore, we were glad that we did, the staff were great, the menu was varied and the food and beer were great. We will be using this pub again in the future.",2015.0,3.0
186,christine j,4,2015,3,non-mobile,Lovely country pub.,"Lovely homely country inn. Specials board very comprehensive and main menu was also good. Three of us started off with the pigeon breast in mushroom sauce and the other in the group had a smoked haddock pancake, both of which were delicious. Two of us then had a pork dish and one other had duck breast and the other had swordfish. These were served with either chips or mash and separate vegetables. Service was excellent and wine list was good.",2015.0,3.0
187,nsansom,5,2015,3,mobile,Supreme all round pub,"Went with my wife this Sunday and enjoyed a first class meal and drinks. The food (Chicken in Cheshire Cheese sauce with bacon, and a Lasagna) were rich, tasty and very filling. Service was spot on. Had two beautiful pints of Intrepid Porter. The pub itself is welcoming, cosy and traditional. Everything you would want from a village local. One of my favourite all round pubs in Britain now. Highly recommend!",2015.0,2.0
188,sharkyrifaa,2,2015,2,mobile,Disappointed,"Are here for a family birthday and was very disappointed. The food was ok, not spectacular but the service was shocking. We had to send a meal back, after 10minutes of not seeing any staff, we found them all around the bar. Plates were cleared 20 minutes after we had finished eating. There were 3 staff on and the restaurant was not busy, so we were all very disappointed. I gave it 2 stars as its a real ale pub otherwise it would be 1 star ",2015.0,2.0
189,JULES4GEORGE,5,2015,2,non-mobile,"Friendly country inn, lovely food and atmosphere","Eaten at this Inn several times and food is always excellent. Friendly staff. Serves a huge selection of ales, something for everyone. Varied menu and specials board.",2015.0,2.0
190,UKMuzz1,5,2015,2,mobile,Absolutely first class,"Visited for Sunday lunch. Absolutely lovely meal. Beautiful presentation, great menu choice and reasonably priced. Thoroughly recommend this place",2015.0,1.0
191,Keith M,5,2015,1,non-mobile,Brilliant !,"This was our first visit . It was a good job we had booked as it was full. They offer numerous guest ales, far too many too mention. The bar staff where very knowledgeable and helpful. Service at the bar was very quick even though it was very busy. The staff are very helpful and nothing is too much trouble. The restaurant is excellent!. The menu is very varied, something for everyone. The specials board had 5 starters and 19 different main courses on it!!. The food is excellent. The service is excellent. After our meal we where able to move to another room and have after dinner drinks and have a few games of cards, as we like to do. We tale our playing cards with us although they do have a few games available. There was no rush to leave and we had a great evening. We will be returning soon. Excellent!!.",2015.0,1.0
192,rockyWirral,5,2014,12,non-mobile,excellent as always,"the quality of food is excellent and consistently so they have a big range of starters and mains on the specials board and an extensive menu, and its a real ales pub three different areas to eat restaurant bar area and a restaurant at front, we go fairly regular and the food and staff are excellent",2014.0,12.0
193,Andy W,5,2014,12,mobile,Food and drink,Absolutely lovely. Very warm welcome and lots of choice behind the bar. Lots of different hand pulled guest ales to choose from and then the food. Wow....... Very good menu and food was spot on. If your in the Nantwich area this hidden gem is definitely a must find. You will not be disappointed. ,2014.0,12.0
194,Duttons_06,5,2014,12,non-mobile,Bhurtpore gets it right again!,"Good meal ,good company , plenty of choice. Once again we had an enjoyable time in this comfortable inn,very helpful staff and what a choice in beer!",2014.0,12.0
195,Jill N,5,2014,12,non-mobile,Amazing curries!!,Yet another fantastic meal at this superb Inn. The food is amazing and the Staff are so professional and accommodating. Well done Bhurtpore. ..6 out of 5!!,2014.0,12.0
196,Thomas M,3,2014,12,non-mobile,Above average,"Nice pub with a good selection of cask ales, had a lunch time meal,which was good at a fair price. Fresh veg which was a little over cooked, but the gammon egg and chips were excellent. A nice atmosphere and welcoming environment. Worth a visit.",2014.0,12.0
197,barbara r,5,2014,11,non-mobile,You must try this Inn!!!!!!!,"Another fabulous meal at this amazing public house. It's in The Good Beer Guide, and rightly so. The choice of real ales and ciders is superb, the food is incredible and the staff are really helpful and so friendly. The atmosphere is very relaxed and the lovely log fire creates a warm and cosy glow. The bar area is lovely to unwind in and the dining room is a more formal area to dine. I recommend that you try this Inn for your next meal out.",2014.0,11.0
198,John M,4,2014,11,non-mobile,Saturday Evening Meal,"Welcoming Pub, friendly staff. Wide range of Beers, Menu has varied options which include vegetarian and fish dishes.We visited the pub with friends for a Saturday evening meal, - All had different choices and were pleased with the quality of the food and service.Look forward to our next visit.",2014.0,7.0
199,David B,4,2014,11,non-mobile,A welcoming pub on a blowy evening.,"Friendly service from owner Simon and the staff. A welcoming log fire in the lounge with two life-sized interesting Indian figures on either side.Comfortable dining area, wide ranging menu including small meals, plus quite an array of curries. Lots of interesting looking ales which I wasn't able to try due to having to drive.A fascinating Indian history attached to the pub. The walls are decorated with many historic photographs - too many to take in on one visit.Outside is a fairly large garden with tables and a large car park at the rear of the pub.A good visit.",2014.0,10.0
200,JLRoberts3,4,2014,10,non-mobile,Superb!,Visited on 17/10/14 after hearing great things about thecurries and wasn't disappointed! Great selection and variety of curries on the specials board.Fantastic service in a relaxed environment. Will definately be back!,2014.0,10.0
201,ken b,5,2014,10,non-mobile,Beer & Curry Simply The Best Will Return Soon,"Staff friendly, Food Superb, Good value For Money, Good Choice of Beers, Soft Drinks, Whiskies & Wine. Now the Soccer is on too. Can't praise the Mutton Rezala enough but only the brave venture towards the Tindaloo, Great Ambience. Veg portions could be bigger. Chef is superb choice is very wide. Good simple food from Guinea Fowl to Mutton Rezala.",2014.0,9.0
202,Alan A,5,2014,9,non-mobile,Still the best!,"4 of us. Although we had booked a table, there was a free table by the bar. We asked if we could be served there as the atmosphere in the bar area is great. ""No problem, sir"". Food, drink, service all excellent. I may have mentioned this before, but if it were my local then my liver would definitely suffer!",2014.0,9.0
203,royw326,5,2014,9,non-mobile,Another splendid meal,"my wife and self have eaten at the Bhurtpore for years. We have never had a bad meal or tbad experience. The food is always excellent and as for the beers!!, well, if you can't find one you like at the Bhurt, you must be VERY hard to please.We last ate with some friends on Monday lunch, 29th Sept, as ever, it was cleared plates all round.Particularly liked the Chinese curry. I count myself very lucky to live just down the road from what is a really great pub.",2014.0,9.0
204,howardb366,5,2014,9,non-mobile,Always worth a visit,"What can you say about a pub that does everything so well?Beer is second to none; well kept and always in great condition. Brilliant, ever changing range of beer. Food almost as good as the beer. Friendly, efficient staff. Beer garden to enjoy and in very pleasant rural seting",2014.0,7.0
205,Julie M,5,2014,9,non-mobile,great pub,"Excellent place to eat, very good food and many beers to choose from, friendly staff and pub has a lovely atmosphere , would certainly recommend it as a place to go.",2014.0,9.0
206,dinewith,5,2014,9,non-mobile,What a gem!,"With friends moving into the area, it has become their local. The food, service, wine and obviously beer Is awesome!!!!! ",2014.0,7.0
207,Stan_and_Sadie,3,2014,8,non-mobile,I'm Only Here For The Beer!,"The Bhurtphore is famous, and rightly so for its beer. There is an amazing selection of beers and cider all served perfectly and in the correct glasses that adds to the overall experience. The beer is a credit to Simon George, the landlord who is extremley knowledgable and runs a tight ship, where beer is concerned. It was also good to see Erdinger Drive available for the driver in our group reasonably priced at £2.50 and served in the correct glass so the driver can share the Bhurtpore experience. The food experience is another story and I would not go to the Bhurtpore for the food. The lasagne was dry and cremated. The curries on which the Bhurtphore prides itself all look the same with no discernable ingredients apart from the meat, I suspect it is the same curry with the 'heat' adjusted by spoons of chilli powder, do not expect an Indian restaurant experience. Staff were friendly despite being very busy. I do feel rather guilty about this rating but if it was for beer alone it would be a five!",2014.0,8.0
208,G M,5,2014,8,non-mobile,All good here.......,Came here for lunch well greeted..too many beers to mention..nice food good service nice atmosphere very relaxed great country pub.....check out the beer festival also excellent...,2014.0,6.0
209,Nomis555,5,2014,8,non-mobile,Lovely lunch.....curry to die for!,Really pleasant meal with a few nice real ales.....Service at bar and in restaurant first class....Starters were nicely presented......Chicken and Spinach Balti is better here than in an Indian restaurant....Will definitely go again....,2014.0,8.0
210,Judderjud,5,2014,8,non-mobile,Great pub,"Lucky to have this gem on my doorstep. Great food great drink. Nice locals and friendly and chatty staff make for a great atmosphere too. Did i mention ""GREAT""",2014.0,7.0
211,TerryM469,5,2014,7,non-mobile,Beer festival and meal,Went the beer festival with over 180 ales and various ciders/Perry's . A great day was had. Went into the bar for tea Ian had sirloin steak my wife had the haddock both meals were fantastic. It was my second beer festival here this year we camped in the field behind the pub. The pub is truly amazing,2014.0,7.0
212,Dave_J_W2013,4,2014,7,non-mobile,Great pub for real ale and curry,"We have been going to this pub since Simon took over in 1991. If you like beer you have gone to heaven. There is always a well kept selection of approximately 12 real ales + various lagers/belgian beers, and a huge range of spirits, especially whisky.The food is very good quality pub standard with an emphasis on home made. The curries are excellent with usually a choice of 3 or more which change regularly. Try the Goat curry if it's on.",2014.0,7.0
213,Birtwistler,5,2014,7,non-mobile,"Brilliant curries, fantastic beer","This has got to be one of my favourite pubs. The selection of beers is epic; they're started putting little kilner jars of the beer next to the pump so you can see how dark (or pale) the beers are. If you like real ales, you'll be in heaven, but there is enough variety to make it interesting for anyone; Bitburger pilsner is really good and in winter there are things like mulled cider.There's a specials board as well as a regular menu. Kids can order from the light bites section of the latter. We often have something more unusual from the specials menu.I usually have a curry and they're often better than I've had in some curry houses (obviously not the Naaz, but that's another review). The heat guide is usually pretty accurate, so their Madras is pretty challenging for me, but packed with flavour. This time I had Mutton and it was excellent. My wife had beef and stilton pie, which had a cheesy pie crust. Our daughter had fish goujons and I didn't get a look in there. My mother-in-law had some pork thing which was admittedly a bit average, but then it wasn't my meal, so I was happy!I'd say that it's a bit of a man's pub, except that my wife prefers it to many of the other local pubs. The décor isn't fantastic, a bit rustic, but for me that adds to the charm. The staff are lovely and look like they're enjoying themselves. And it's not overpriced.",2014.0,6.0
214,56ajh,2,2014,7,non-mobile,Downhill,"I've been going to this pub for over 6 years with family and has always been one of our favourites. We booked a table for a birthday meal and I hadn't been there for a while before this booking and on arrival it was like I never left interior was tired and old looking. The customer service was terrible and slow, one of the barmaids/ waitresses looked as though her face would crack if it smiled. The delivery of food was slow and when it arrived I wished it hadn't, the owner/s of the Bhurtpore Inn want to take I long hard look at themselves and make some much needed changes. Won't be visiting in again in a hurry....shame to say.Regards,A&J",2014.0,4.0
215,TheAFCWombles,4,2014,7,non-mobile,Good Curry,"We always visit this pub when we are in Nantwich purely because my husband likes the beer. All 3 of us this time had curries for our meal. Although some curries say ""hot"" they are not in fact that hot but even so we found to be tasty and are good size portions. Service this time round was a little slow but that could well have been that a coach party turned up as we had ordered. The dinning room is a little dated but I suppose this is a traditional english pub.",2014.0,6.0
216,rockyWirral,5,2014,6,non-mobile,loverley grub,went for sunday lunch been quite a few times and we are never dissappointed with the quality and choice of food me n my wife had the steak n kidney pie it was delicious and also had a great selection of sweets. The staff are really nice n freindly and nothing is too much trouble for them. But as i always find treat them the same way you would want to be treated .,2014.0,6.0
217,Neil F,2,2014,6,non-mobile,Not for us!,"We went for lunch, on my wife's recommendation, at 5pm today. When we drew up I thought the place was a bit drab, the inside was similar but we were here now so we decided to give it a go. We asked to sit in the dinning room, we were the only two in there although there were some people in the bar and garden eating but not many.We ordered, I had wild mushrooms in a creamy sauce my wife had prawn and crayfish cocktail, mine was ok, my wife's was very poor value for money - not much of anything.Mains were shoulder of lamb for me and lamb madras curry for my wife. The shoulder was over cooked and black on the outside but the veg was ok. The curry was very poor, it looked like it was just pieces of lamb in water and curry powder, no other ingredients, the chips and rice were ok.Two more people came into the dinning room - I wonder if they were in for a surprise!Needless to say we left some of the food. I did tell the girl about it when I paid and she said 'sorry about that'. Please note this is the first bad review I have given anyone.",2014.0,6.0
218,NantwichFlatley,5,2014,5,non-mobile,Get ready for the Beer Festival...,The Bhurtpore is back on song again with a fantastic selection of real ales and now entertaining the craft beer 'keg' revolution. Can't wait for the annual beer festival return 8th - 13th July. This will be Simons 'encore' after declaring the festival closure a year ago. Long may it continue!!!,2014.0,5.0
219,cheekychi,3,2014,5,non-mobile,food is ok,"food was ok, nothing special, setting was really nice. the icecream was to die for! will definitely go again.",2014.0,5.0
220,redimp21,5,2014,5,non-mobile,marvellous visit,"Had been to the Bhurtpore before but not for a few years...so driving through Cheshire thought we'd try it again. And very pleased we did.We love Belgian beer and this pub specialises big time in them.There is a brilliant bottled beer menu which must have up to 200 different beers from Belgium, Germany, France, Holland, Spain, Czech and more along with some excellent Scottish and English ones including Brew Dog.They aim to serve them in the correct brand glasses too, fabulous detail. We enjoyed some Belgian fruit beer followed by a Scottish ale and a Catalan lemon beer.Along with the drinks we had two delicious curries. Sadly the Bengali venison curry had all gone , we would have picked it as it sounded great and wasn't dear...There was also a big range of real ales at the bar, the Salamander sounded like it should be Belgian too but was actually from Bradford ....Overall the food sevice was really quick and great value whilst the beer selection makes the Bhurtpore a perfect destination for any beer connoisseur :)Top marks !!",2014.0,5.0
221,MartinBale,5,2014,5,non-mobile,Christmas Outing,The Wrenbury Art Group used this restaurant for the second time in 2013. We were able to have the table layout we wished and in a private room.This made for a very enjoyable lunchtime event and hope to use again in 2014,2013.0,12.0
222,Phil B,3,2014,4,non-mobile,Average,"4 of us were looking forward to seeing if the reviews were correct and I hadn't been here since the days of when it was just a pub.On arrival I was saddened with the choice real ales seeing as there are many micro brewery's within proximity, closest I could see was Sheffield :-(The place has a good friendly atmosphere though and was busy so looking forward to the food side of things.Service was a little slow in between courses and the dessert we'd almost given up on. Food wise was no better no worse than general standard pub grub, but due to there being some very good gastro pubs around the Cheshire area is maybe a place I wouldn't go out of my way again to visit.",2014.0,3.0
223,1203Simon,4,2014,4,non-mobile,Good food and beer,"I've been going to the Bhurtpore for many years, but don't usually eat here (the beer is so good it's worth going just for that).The steak and kidney pie is excellent, and always has been, but young people don't usually like kidney so not many pubs / restaurants offer it on their menu these days. There's always a good range of specials on the blackboard. My friend had a burger which was also good.The beer here is always varied, and usually very good - a wide choice of real ales is the Bhurtpore's specialty.My only criticism of this lovely pub is the toilets - a shared stainless steel urinal and poor hand dryer really shouldn't be acceptable in a pub of this otherwise high standard.",2014.0,4.0
224,SharonM283,5,2014,4,non-mobile,Excellent food,Visited Sun 6 April with family. Excellent home cooked food with a very large range of choice. As a family we eat out at leas once a week and the Bhurtpore is on the top of out list for re-visiting. We all chose different meals from the menu and all were 1st class. If you visit from Sunday to Thursday and cannot eat a large meal there is also meals on the menu for a smaller appetite. An extensive range of beers are offered and we also found the staff very friendly and helpful. Would definitely visit again.,2014.0,4.0
225,ShropshireBill,3,2014,4,non-mobile,Vegetarian,"In the past we have visited many times for evening meals, and whilst I agree the choice of ales, ciders etc. is unsurpassed I find as a vegetarian the meals not to be very good. The sausage sometimes is really nice (tarragon) and other times just quorn sausages (which are very dry) and quite frankly it is expensive when these sausages are so cheap to buy. They have not changed their choices in all the time I have been going and on our last visit I asked could they make me an omelette - the cook refused so we left and found a super pub just down the road - in future we will call for a drink but eat elsewhere.",2013.0,10.0
226,Lindsey60,5,2014,4,non-mobile,good food and drink,so much to choose from curry exellent nice steake and chicken very good staff all good on our way back,2013.0,5.0
227,johnbrooksbank,5,2014,4,non-mobile,"Very, very good","We went today for lunch and we were stunned by the quality of it all. Staff, beer and food were all of excellent quality. A massive range of quality real ales is complemented by an excellent menu with a great choice of daily specials. I'm booking today to return for an evening meal but this time the car stays at home so I can enjoy the beer as well as the food.Don't miss the 2014 beer festival in July. It's bound to be phenomenal.",2014.0,4.0
228,paula_82,5,2014,3,mobile,Amazing little gem!,This pub is gorgeous. Great menu great food and the best real ales!! Staff are friendly and knowledgable and their real ale beer festival in July is a must for beer fans!!,2014.0,2.0
229,themeparkphobia,5,2014,2,non-mobile,"Top notch food and beer, everything a local should be.","What can you say about the place?Over the years I have literally eaten here hundreds of times and aside from the occasional mishap with mixed up starters or the like (and I mean very very occasional) I have never been disappointed.The best Real Ale pub for miles around, exotic beers from around the world, no idiots (aside from me), yobs or blaring music.... and top notch restaurant quality food at pub prices.If your an ""ex pat southerner"" from south of Watford Gap like me, give it a try, you won't be disappointed.Certainly sets the benchmark locally, that sadly many fail to achieve........try the burger if your just after a ""snack"" - you will struggle to finish it !",2014.0,2.0
